country,Cases,Deaths,Recovered,Tests,Death Rate (%),Recovery Rate (%)
Eritrea,10189,103.0,10086.0,23693.0,1.0108941014819903,98.98910589851802
Estonia,628070,3001.0,0.0,6968103.0,0.4778129826293247,0.0
Eswatini,75191,1427.0,73116.0,1048704.0,1.8978335173092526,97.2403612134431
Ethiopia,501157,7574.0,488171.0,5565340.0,1.5113028452161696,97.40879604594967
Europe,253406198,2101824.0,248754104.0,0.0,0.8294288050523532,98.16417513197526
Faeroe-Islands,34658,28.0,0.0,778000.0,0.08078942812626233,0.0
Falkland-Islands,1930,0.0,1930.0,8632.0,0.0,100.0
Fiji,69117,885.0,67226.0,672883.0,1.2804375189895394,97.26405949332292
Finland,1516117,11958.0,1503989.0,12108977.0,0.7887254083952624,99.20006173666016
France,40138560,167642.0,39970918.0,271490188.0,0.41765823188475126,99.58234176811524
French-Guiana,98041,420.0,11254.0,651257.0,0.42839220326190064,11.478871084546261
French-Polynesia,79254,650.0,0.0,0.0,0.8201478789714084,0.0
Gabon,49051,307.0,48674.0,1621909.0,0.6258791869686653,99.2314122036248
Gambia,12626,372.0,12189.0,155686.0,2.946301283066688,96.53888800887059
Georgia,1861665,17132.0,0.0,16920079.0,0.9202514953012492,0.0
Germany,38828995,183027.0,38240600.0,122332384.0,0.47136682265405017,98.4846504525806
Ghana,171889,1462.0,170425.0,2541625.0,0.8505489007440848,99.14828755766803
Gibraltar,20550,113.0,0.0,534283.0,0.5498783454987834,0.0
Greece,6101379,37869.0,0.0,102228365.0,0.6206629681585097,0.0
Greenland,11971,21.0,2761.0,164926.0,0.1754239411912121,23.06407150613984
Grenada,19693,238.0,19358.0,182981.0,1.2085512618696999,98.29888792972122
Guadeloupe,203235,1021.0,0.0,938039.0,0.5023740989494919,0.0
Guatemala,1291293,20289.0,1269891.0,7593848.0,1.571215827856265,98.34259149550103
Guinea,38572,468.0,37757.0,660107.0,1.2133153582909884,97.8870683397283
Guinea-Bissau,9614,177.0,8929.0,145231.0,1.841065113376326,92.87497399625546
Guyana,74137,1300.0,72013.0,733218.0,1.7535103929212135,97.13503378879642
Haiti,34667,860.0,33734.0,132422.0,2.4807453774482937,97.30867972423341
Honduras,474590,11165.0,0.0,1660662.0,2.3525569438884086,0.0
Hong-Kong,2937609,14924.0,2916005.0,76127725.0,0.5080322125919413,99.2645719699252
Hungary,2230232,49048.0,2152155.0,11394556.0,2.1992330842710532,96.49915345130013
Iceland,209906,229.0,0.0,1996384.0,0.10909645269787428,0.0
India,45035393,533570.0,0.0,935879495.0,1.1847792690517878,0.0
Indonesia,6829221,162063.0,6647104.0,114158919.0,2.373081790734258,97.33326831859739
Iran,7627186,146811.0,0.0,57320267.0,1.9248383348721272,0.0
Iraq,2465545,25375.0,2439497.0,19544451.0,1.029184216876999,98.9435195869473
Ireland,1734582,9491.0,1724921.0,13083449.0,0.5471635241228145,99.44303584379406
Isle-of-Man,38008,116.0,0.0,150753.0,0.3051989054935803,0.0
Israel,4841772,12707.0,4798473.0,41373364.0,0.262445236991746,99.10571997194415
Italy,26723249,196487.0,26361218.0,281126449.0,0.7352661347428225,98.64525829175936
Ivory-Coast,88384,835.0,87497.0,1690934.0,0.9447411296162201,98.99642469225199
Jamaica,156869,3756.0,0.0,1183986.0,2.394354525113311,0.0
Japan,33803572,74694.0,0.0,100414883.0,0.2209648140143296,0.0
Jordan,1746997,14122.0,1731007.0,17201885.0,0.8083585718807761,99.08471508537221
Kazakhstan,1411831,13848.0,1383020.0,11575012.0,0.9808539407336997,97.95931666042182
Kenya,344130,5689.0,337309.0,3967062.0,1.6531543312120418,98.01790021212913
Kiribati,5085,24.0,2703.0,0.0,0.471976401179941,53.15634218289086
Kuwait,667158,2570.0,0.0,8455743.0,0.3852160957374415,0.0
Kyrgyzstan,206897,2991.0,196406.0,1907195.0,1.44564686776512,94.92936098638452
Laos,218970,758.0,0.0,1233207.0,0.3461661414805681,0.0
Latvia,982505,6715.0,971406.0,7885792.0,0.6834570816433504,98.87033653772754
Lebanon,1243838,10952.0,1087587.0,4795578.0,0.8805005153404221,87.4379943368831
Lesotho,36138,723.0,25980.0,431221.0,2.0006641208699985,71.89108417732028
Liberia,8090,295.0,7783.0,139824.0,3.646477132262052,96.20519159456119
Libya,507274,6437.0,500835.0,2483848.0,1.268939468610652,98.73066626714557
Liechtenstein,21574,94.0,0.0,112457.0,0.4357096505052378,0.0
Lithuania,1397806,9897.0,1387478.0,10540357.0,0.7080381683867433,99.26112779598886
Luxembourg,391232,1232.0,0.0,4587145.0,0.31490266644855225,0.0
MS-Zaandam,9,2.0,7.0,0.0,22.22222222222222,77.77777777777779
Macao,27673,123.0,3487.0,7850.0,0.44447656560546384,12.600729953384166
Madagascar,68486,1426.0,66862.0,531329.0,2.082177379318401,97.62871243757849
Malawi,89535,2686.0,0.0,624784.0,2.9999441559166806,0.0
Malaysia,5278406,37348.0,5233268.0,68580916.0,0.7075620935562744,99.14485547341376
Maldives,186694,316.0,163687.0,2213831.0,0.16926092964958703,87.67662592263275
Mali,33164,743.0,32332.0,804909.0,2.2403811361717527,97.49125557833796
Malta,121420,885.0,120149.0,2170600.0,0.7288749794103113,98.95322022731017
Marshall-Islands,16138,17.0,16121.0,0.0,0.10534143016482836,99.89465856983517
Martinique,230354,1102.0,0.0,828928.0,0.4783941238268057,0.0
Mauritania,63848,997.0,62471.0,1009957.0,1.561521112642526,97.84331537401329
Mauritius,43025,1051.0,41278.0,358675.0,2.442765833817548,95.93957001743173
Mayotte,42027,188.0,0.0,176919.0,0.44733147738358675,0.0
Mexico,7702809,334958.0,6899865.0,20013810.0,4.348517534317676,89.57595858861357
Micronesia,26547,65.0,0.0,82430.0,0.24484875880513807,0.0
Moldova,635145,12218.0,0.0,3216305.0,1.9236552283336876,0.0
Monaco,17181,67.0,0.0,78646.0,0.3899656597404109,0.0
Mongolia,1011496,2284.0,1009212.0,4030048.0,0.22580415542918608,99.77419584457081
Montenegro,296542,2846.0,291794.0,2769281.0,0.9597291446068348,98.39887773064187
Montserrat,1403,8.0,1376.0,17762.0,0.5702066999287242,98.07555238774056
Morocco,1278992,16303.0,0.0,13001033.0,1.2746756820996534,0.0
Mozambique,233731,2250.0,228805.0,1371127.0,0.9626450920074787,97.8924490118983
Myanmar,641873,19495.0,620159.0,11711514.0,3.0372051792176955,96.61708780397367
Namibia,172389,4106.0,167099.0,1062663.0,2.381822506076374,96.93135872938528
Nauru,5393,1.0,5347.0,20509.0,0.018542555164101613,99.14704246245132
Nepal,1003450,12031.0,991322.0,6047766.0,1.1989635756639594,98.79136977427873
Netherlands,8635786,22992.0,8612599.0,25984435.0,0.2662409652115048,99.73150098902404
New-Caledonia,80064,314.0,0.0,98964.0,0.3921862509992006,0.0
New-Zealand,2621111,5697.0,2613791.0,7768604.0,0.21735058149006278,99.72072911067102
Nicaragua,18491,225.0,4225.0,0.0,1.2168081769509491,22.848953544967824
Niger,9931,312.0,8890.0,254538.0,3.141677575269359,89.51767193636088
Nigeria,267188,3155.0,259953.0,5708974.0,1.1808165037351976,97.2921688099765
Niue,1059,0.0,1056.0,0.0,0.0,99.71671388101983
North-America,131889132,1695941.0,127665129.0,0.0,1.2858838133835016,96.7973077569424
North-Macedonia,350567,9976.0,337068.0,2226216.0,2.84567571961993,96.14938086014942
Norway,1509732,6638.0,1503094.0,11002430.0,0.43968068504873714,99.56031931495126
Oceania,14895771,33015.0,14752388.0,0.0,0.22164008831768428,99.03742478318175
Oman,399449,4628.0,0.0,25000000.0,1.1585959659430867,0.0
Pakistan,1581936,30664.0,1538689.0,30589153.0,1.9383843594178274,97.26619787399743
Palau,6290,10.0,6276.0,71434.0,0.1589825119236884,99.77742448330683
Palestine,621008,5404.0,615445.0,3078533.0,0.8701981294926957,99.10419833560921
Panama,1059893,8727.0,1051102.0,7882622.0,0.8233850020709638,99.17057665254889
Papua-New-Guinea,46864,670.0,46168.0,249149.0,1.4296688289518606,98.51485148514851
Paraguay,837602,20155.0,0.0,2657506.0,2.4062741015422597,0.0
Peru,4572667,222161.0,4350506.0,39010194.0,4.858455688988505,95.1415443110115
Philippines,4140383,66864.0,4067381.0,36102746.0,1.6149230638808052,98.23682978120624
Poland,6661991,120598.0,0.0,39323709.0,1.8102396115515618,0.0
Portugal,5643062,28126.0,5614809.0,46139518.0,0.4984173485954965,99.49933210019667
Qatar,514524,690.0,513687.0,4065369.0,0.1341045315670406,99.83732537257737
R&eacute;union,494595,921.0,0.0,1603660.0,0.18621296212052285,0.0
Romania,3529735,68929.0,3460149.0,28758667.0,1.9528094885310088,98.02857721613663
Russia,24124215,402756.0,23545818.0,273400000.0,1.6695092462075969,97.60242146739283
Rwanda,133518,1468.0,132039.0,6021981.0,1.0994772240446982,98.89228418640184
S-Korea,34571873,35934.0,34535939.0,15804065.0,0.10393998612687255,99.89606001387313
Saint-Helena,2166,0.0,2.0,0.0,0.0,0.09233610341643582
Saint-Kitts-and-Nevis,6607,48.0,6559.0,126958.0,0.7265021946420462,99.27349780535796
Saint-Lucia,30215,410.0,29805.0,210983.0,1.3569419162667549,98.64305808373325
Saint-Martin,12324,63.0,0.0,112382.0,0.5111976630963972,0.0
Saint-Pierre-Miquelon,3452,2.0,2449.0,25400.0,0.057937427578215524,70.94438006952491
Samoa,17006,31.0,1605.0,187397.0,0.18228860402210986,9.43784546630601
San-Marino,26185,128.0,26011.0,196855.0,0.488829482528165,99.33549742218828
Sao-Tome-and-Principe,6778,80.0,6685.0,29600.0,1.1802891708468575,98.62791383889052
Saudi-Arabia,841469,9646.0,0.0,45481735.0,1.1463286229201552,0.0
Senegal,89053,1971.0,87024.0,1146543.0,2.213288715708623,97.72158153010005
Serbia,2615054,18057.0,2596608.0,13463733.0,0.6905019934578789,99.29462259670355
Seychelles,51220,172.0,51048.0,0.0,0.3358063256540414,99.66419367434595
Sierra-Leone,7779,126.0,0.0,259958.0,1.619745468569225,0.0
Singapore,3006155,2024.0,3004131.0,24756666.0,0.06732853096397225,99.93267146903602
Sint-Maarten,11051,92.0,10905.0,62056.0,0.8325038458058095,98.67885259252557
Slovakia,1877605,21224.0,1856381.0,7448789.0,1.1303761973365005,98.8696238026635
Slovenia,1356546,7100.0,1349424.0,2847701.0,0.5233880753030122,99.47499015882985
Solomon-Islands,25954,199.0,0.0,0.0,0.7667411574323804,0.0
Somalia,27334,1361.0,13182.0,400466.0,4.979146850076828,48.225653032852854
South-Africa,4076463,102595.0,3912506.0,26795090.0,2.5167651466479644,95.97795932405127
South-America,70200879,1367332.0,66683585.0,0.0,1.947741993373046,94.98967242276268
South-Sudan,18819,147.0,18115.0,410280.0,0.7811254583134066,96.25909984590042
Spain,13914811,121760.0,13762417.0,471036328.0,0.8750388345195634,98.90480725897032
Sri-Lanka,672754,16897.0,655852.0,6486117.0,2.5116164303742528,97.48764035591019
St-Barth,5507,6.0,0.0,78646.0,0.10895224260032686,0.0
St-Vincent-Grenadines,9674,124.0,9493.0,114197.0,1.281786231135001,98.1290055819723
Sudan,63993,5046.0,58947.0,562941.0,7.885237447845858,92.11476255215413
Suriname,82588,1408.0,0.0,242207.0,1.7048481619605753,0.0
Sweden,2754129,27407.0,2726492.0,19500873.0,0.9951240482925817,98.99652485413719
Switzerland,4453053,14452.0,4438309.0,23833472.0,0.3245413876726821,99.66890131332369
Syria,57743,3165.0,54578.0,146269.0,5.481183866442685,94.51881613355731
Taiwan,10241523,19005.0,10222518.0,30742304.0,0.18556810349398228,99.81443189650602
Tajikistan,17786,125.0,17264.0,0.0,0.7027999550208028,97.06510738783312
Tanzania,43223,846.0,0.0,0.0,1.957291256969669,0.0
Thailand,4770149,34586.0,4692636.0,17273454.0,0.7250507269269786,98.37504027651967
Timor-Leste,23460,138.0,23102.0,278529.0,0.5882352941176471,98.47399829497017
Togo,39572,290.0,39281.0,815204.0,0.7328414030122309,99.26463155766704
Tokelau,80,0.0,0.0,0.0,0.0,0.0
Tonga,16950,13.0,15638.0,535009.0,0.07669616519174041,92.25958702064896
Trinidad-and-Tobago,191496,4390.0,187078.0,913289.0,2.2924760830513433,97.69290220161257
Tunisia,1153361,29423.0,0.0,5013383.0,2.551065971538833,0.0
Turkey,17232066,102174.0,0.0,162743369.0,0.59292948390518,0.0
Turks-and-Caicos,6752,40.0,6709.0,616788.0,0.5924170616113744,99.36315165876776
Tuvalu,2943,1.0,0.0,0.0,0.03397893306150187,0.0
UAE,1067030,2349.0,0.0,200732262.0,0.2201437635305474,0.0
UK,24910387,232112.0,24678275.0,522526476.0,0.9317880127675254,99.06821198723247
USA,111820082,1219487.0,109814428.0,1186851502.0,1.090579597321347,98.20635617133601
Uganda,172149,3632.0,100431.0,3012408.0,2.1098002311950697,58.33957792377533
Ukraine,5557995,112418.0,5445577.0,32603805.0,2.0226358605936134,97.97736413940639
Uruguay,1041111,7664.0,1030944.0,6114822.0,0.7361366847531147,99.02344706760374
Uzbekistan,253662,1637.0,241486.0,1377915.0,0.6453469577626921,95.19991169351341
Vanuatu,12019,14.0,11976.0,24976.0,0.11648223645894001,99.64223313087611
Vatican-City,29,0.0,29.0,0.0,0.0,100.0
Venezuela,552695,5856.0,546537.0,3359014.0,1.0595355485394296,98.88582310315816
Vietnam,11625195,43206.0,10640971.0,85826548.0,0.37165828186107847,91.53369900461885
Wallis-and-Futuna,3550,8.0,438.0,20508.0,0.22535211267605634,12.338028169014084
Western-Sahara,10,1.0,9.0,0.0,10.0,90.0
Yemen,11945,2159.0,9124.0,329592.0,18.07450816241105,76.38342402678944
Zambia,349304,4069.0,341316.0,4112961.0,1.1648878913496552,97.7131667544603
Zimbabwe,266359,5740.0,258888.0,2525756.0,2.1549863154614637,97.19513889149607
